180
bbCbaAaA BCaacB;49;abA aaAccaA BACacbb aA b;50.99
aAbbBaBBacAc;75;abA aaAccaA BACacbb aA b;50.99
bbCbaAaA BCaacB;78;B ca  c;50.99
bbCbaAaA BCaacB;98;abA aaAccaA BACacbb aA b;50.99
aAbbBaBBacAc;49;B ca  c;50.84
b baBBabaBBAaB;78;abA aaAccaA BACacbb aA b;50.84
bbCbaAaA BCaacB;120;Ba  AbA   bCcbabCc ac   c aaBcc  CBa  C c ACaBcc c;50.99
aAbbBaBBacAc;78;abA aaAccaA BACacbb aA b;50.62
b baBBabaBBAaB;75;BB AA aB BAA aCabCcc A AbBb aA;50.62
b baBBabaBBAaB;78;BB AA aB BAA aCabCcc A AbBb aA;50.62
aAbbBaBBacAc;78;Ba  AbA   bCcbabCc ac   c aaBcc  CBa  C c ACaBcc c;50.84
aAbbBaBBacAc;120;abA aaAccaA BACacbb aA b;50.84
aAbbBaBBacAc;78;Ba  AbA   bCcbabCc ac   c aaBcc  CBa  C c ACaBcc c;50.62
bbCbaAaA BCaacB;75;B ca  c;50.84
aAbbBaBBacAc;78;Ba  AbA   bCcbabCc ac   c aaBcc  CBa  C c ACaBcc c;50.99
b baBBabaBBAaB;98;abA aaAccaA BACacbb aA b;50.99
b baBBabaBBAaB;120;B ca  c;50.84
b baBBabaBBAaB;120;B ca  c;50.62
b baBBabaBBAaB;120;BB AA aB BAA aCabCcc A AbBb aA;50.84
aAbbBaBBacAc;98;B ca  c;50.99
bbCbaAaA BCaacB;120;B ca  c;50.62
aAbbBaBBacAc;75;Ba  AbA   bCcbabCc ac   c aaBcc  CBa  C c ACaBcc c;50.99
b baBBabaBBAaB;78;B ca  c;50.99
b baBBabaBBAaB;75;BB AA aB BAA aCabCcc A AbBb aA;50.99
aAbbBaBBacAc;120;B ca  c;50.99
aAbbBaBBacAc;98;abA aaAccaA BACacbb aA b;50.84
aAbbBaBBacAc;120;abA aaAccaA BACacbb aA b;50.99
bbCbaAaA BCaacB;49;abA aaAccaA BACacbb aA b;50.62
bbCbaAaA BCaacB;78;abA aaAccaA BACacbb aA b;50.99
aAbbBaBBacAc;75;Ba  AbA   bCcbabCc ac   c aaBcc  CBa  C c ACaBcc c;50.62
